epoch,accuracy,loss,val_accuracy,val_loss
0,0.7122727,0.893958229151639,0.84631145,0.5505170824586368
1,0.8618182,0.48367962235754186,0.87192625,0.4363692902394983
2,0.90102273,0.368364638550715,0.8913934,0.36677084716617087
3,0.9102273,0.33540066177194766,0.9241803,0.2888793073228148
4,0.9201136,0.29549959976564755,0.90061474,0.313814676198803
5,0.9196591,0.2883973854373802,0.87090164,0.41951583081581556
6,0.90897727,0.3209719457680529,0.9231557,0.28267737429161544
7,0.92329544,0.27434674283320254,0.89446723,0.34460014410194806
8,0.93636364,0.23374212006276304,0.94262296,0.20574779161175744
9,0.9432955,0.2081724286485802,0.920082,0.27692525271998075
10,0.93545455,0.22333176148208705,0.9293033,0.23333973736792316
11,0.93613636,0.22974083051085473,0.90266395,0.3396137911276739
12,0.92795455,0.2495578933507204,0.93442625,0.22531441672415028
13,0.9310227,0.23362713540142233,0.9354508,0.24145384792421684
14,0.93363637,0.23505921808833427,0.9170082,0.29520339103507215
15,0.9109091,0.28958850014616144,0.90368855,0.32744351346961786
16,0.9259091,0.2494757674702189,0.9221311,0.23364253885677602
17,0.9186364,0.2787202345105735,0.9231557,0.25115630189414884
18,0.9335227,0.23562674666670236,0.9139344,0.2901578375184145
19,0.92636365,0.2563815708560022,0.93135244,0.2744307786714835
20,0.9227273,0.2592338376492262,0.94364756,0.20572165491395308
21,0.93488634,0.22006413486193527,0.93340164,0.2230179781918643
22,0.9406818,0.208616909079931,0.954918,0.18549360499763098
23,0.94034094,0.20256785139780153,0.93135244,0.23595667257905006
24,0.93215907,0.2237011061676524,0.9303279,0.2461531220278779
25,0.94272727,0.20064838125285778,0.9077869,0.27733141452562615
26,0.93761367,0.2064742901379412,0.9395492,0.2015839135426967
27,0.95352274,0.16377653356302868,0.94159836,0.2190125429178359
28,0.9417046,0.19709985017776488,0.91188526,0.3270133102282149
29,0.9310227,0.22425086607648567,0.90881145,0.28216863277017096
