epoch,accuracy,loss,val_accuracy,val_loss
0,0.7411364,0.7568975245952606,0.852459,0.45962739870196484
1,0.8909091,0.37814109788699585,0.9139344,0.320223905878966
2,0.9209091,0.2956006003103473,0.9231557,0.2794149108841771
3,0.94011366,0.2375996469841762,0.92520493,0.2710893869888587
4,0.9464773,0.2145670446279374,0.9221311,0.2881831205526336
5,0.9553409,0.18222740545868873,0.9139344,0.30205386742705204
6,0.95613635,0.17844580189748244,0.91905737,0.3077779942970784
7,0.9555682,0.17759802558205345,0.9221311,0.2943953391103471
8,0.96329546,0.14833529702641748,0.92520493,0.27046600839153667
9,0.9743182,0.1158675871857188,0.9221311,0.2645549435840278
10,0.9705682,0.12322977694598111,0.91803277,0.2943509667501098
11,0.96352273,0.14501383785158395,0.9282787,0.2717788863743915
12,0.9746591,0.111376970092004,0.91803277,0.2626279998021048
13,0.9727273,0.11590377907184038,0.9241803,0.2890165800869953
14,0.97738636,0.09716397142884406,0.90266395,0.3521514296165255
15,0.9729546,0.11447139495137063,0.9139344,0.33511201725875744
16,0.9780682,0.09693498204377564,0.8965164,0.34225432226648095
17,0.97568184,0.10399057627401569,0.9303279,0.26600719710476084
18,0.9770455,0.09988490160215985,0.91803277,0.30876755079285045
19,0.9796591,0.08965132033621723,0.91290987,0.3723545364852323
20,0.97579545,0.10165328947319226,0.9159836,0.2962180147649812
21,0.9843182,0.07484341658313166,0.9282787,0.2894447338080309
22,0.9805682,0.08884274773299694,0.91905737,0.28462652651379344
23,0.98079544,0.08822920872067863,0.90881145,0.34582514132632586
24,0.98545456,0.07345543946393511,0.9241803,0.28813020588799576
25,0.9775,0.09240334159271284,0.92520493,0.296428538034441
26,0.9835227,0.07488215772943063,0.9139344,0.3705497394147955
27,0.9853409,0.06845467565073209,0.9057377,0.3362399770527101
28,0.9744318,0.10044401200996204,0.90983605,0.35023945127232153
29,0.985,0.0731656294146722,0.9282787,0.27223780787870533
