epoch,accuracy,loss,val_accuracy,val_loss
0,0.59579545,1.1563105690479278,0.74385244,0.7854345797515306
1,0.7630682,0.7222621354189787,0.81762296,0.5899687868649842
2,0.8184091,0.5827133556658571,0.8452869,0.5245814819316394
3,0.8265909,0.5528469170765443,0.82479507,0.5380528168600114
4,0.84102273,0.5086384420367804,0.84631145,0.4929178437737168
5,0.8475,0.4821532525934956,0.8586066,0.4562694657532895
6,0.8477273,0.47933383773673666,0.8288934,0.5290191718300835
7,0.83852273,0.4996465120261366,0.83913934,0.5183842568123926
8,0.8469318,0.46938168585300444,0.852459,0.45266814212330053
9,0.85227275,0.4633435468240218,0.8217213,0.5558835680856079
10,0.85079545,0.45296003147959707,0.87090164,0.4306803958826378
11,0.875,0.3918007723309777,0.8586066,0.4768159632555774
12,0.8773864,0.3925811274214224,0.83913934,0.5043037930717233
13,0.8818182,0.3796204315532338,0.84118855,0.46868279918295436
14,0.8734091,0.3945405187119137,0.8647541,0.4359986459622618
15,0.88295454,0.3654325608231805,0.8514344,0.45500425163839686
16,0.87125,0.3904319013926116,0.8514344,0.46718853174662983
17,0.8764773,0.3797506805170666,0.8258197,0.5503969733588031
18,0.88011366,0.3802829156274145,0.84733605,0.5059606691852945
19,0.8772727,0.38037367519329895,0.85655737,0.45675653341363687
20,0.8815909,0.3627765123004263,0.8596311,0.44653003088763504
21,0.88852274,0.34110430947758935,0.84118855,0.508639365678928
22,0.87704545,0.3716623643853448,0.84938526,0.4728360364183051
23,0.88295454,0.35302917090329256,0.83709013,0.4737220451724334
24,0.8928409,0.33221637343141164,0.8534836,0.480403691041665
25,0.8954545,0.315482977500016,0.84733605,0.5196049787470551
26,0.8940909,0.3210037367790937,0.8545082,0.4676827629570101
27,0.8856818,0.34271898344836454,0.8432377,0.5291558035084458
28,0.8898864,0.32927457361058754,0.829918,0.5475312933081486
29,0.89363635,0.32760358922183513,0.84118855,0.5045603071568442
